uid,latitude,longitude,date,split
aabm,39.08031907,-86.43086667,14/05/2018,train
aabn,36.5597,-121.51,31/08/2016,test
aacd,35.87508324,-78.87843428,19/11/2020,train
aaee,35.487,-79.06213296,24/08/2016,train
aaff,38.04947082,-99.82700111,23/07/2019,train
aafl,39.474744,-86.898353,23/08/2021,train
aafp,35.64774247,-79.2717821,15/11/2017,train
aagm,35.90688526,-79.13296163,10/06/2020,train
aahy,35.72652194,-79.12545778,12/08/2014,train
aaia,35.98,-78.79168619,27/06/2018,train
aaie,35.86132514,-78.76832138,06/11/2013,train
aaig,35.89623283,-79.04770491,24/08/2015,train
aair,33.0426,-117.076,01/11/2014,test
aajk,37.74668,-97.77936,18/10/2021,train
aajw,40.703968,-80.29305,26/08/2015,test
aalr,38.9725,-94.67293,26/08/2019,test
aalw,34.279,-118.905,08/01/2018,test
aamg,37.9718,-121.374,18/08/2015,train
aamp,40.43393,-105.0334,28/07/2017,test
aaoj,38.0201,-122.259,07/07/2015,train
aaoy,35.79,-79.02639225,13/06/2018,train
aapj,33.8892,-117.562,09/01/2018,test
aaqc,37.3906,-120.958,09/07/2013,train
aaqd,35.90753745,-79.13818143,13/08/2020,train
aaqf,39.820323,-79.921575,17/08/2013,test
aaql,38.691,-100.924,13/08/2018,train
aaqq,36.6519,-120.632,09/03/2017,train
aarj,36.115,-78.90875883,29/07/2013,train
aarq,39.90293,-75.18015,05/12/2017,train
aauw,35.70355347,-79.16811922,06/06/2019,train
aauy,36.313,-79.11497779,26/02/2020,test
aava,40.82201,-77.46996,11/04/2018,test
aavi,34.41,-78.3,18/05/2020,test
aavk,41.292492,-80.45833,20/07/2016,test
aaxb,35.72292896,-79.13213135,27/08/2018,train
aaxc,34.446,-119.876,18/03/2020,test
aaxe,37.2486,-120.851,17/01/2019,train
aays,39.12106,-95.41118,27/08/2018,test
abau,35.68223511,-79.20771577,21/06/2016,train
abbf,37.6003,-121.224,13/01/2015,train
abbz,35.71542362,-79.14607171,08/06/2016,train
abcg,37.4583,-120.967,08/03/2016,train
abcx,38.0505,-121.418,15/01/2013,train
abdc,36.9818,-120.221,14/07/2021,test
abdk,35.7589,-105.1445,19/06/2017,train
abdw,35.48,-76.82,26/02/2020,test
abei,35.976,-78.75614185,13/04/2016,train
aben,35.8881581,-78.98307882,02/07/2019,train
abeu,39.7533,-121.971,22/05/2019,test
abhd,34.6721,-120.492,28/02/2014,test
abin,35.85803313,-78.74197382,15/07/2014,train
abit,48.97325,-100.3713,01/08/2017,test
